index	sentence1	sentence2	label
0	Have you eaten anything great last week?	The new restaurant downtown was good.	entailment
1	Did you like the restaurant we went to?	I enjoyed the food and the view.	entailment
2	Did you change the laptop power management settings recently?	They have not been changed recently.	contradiction
3	Are there any noises when you brake?	I haven't noticed any.	contradiction
4	Are you driving home now?	I am going to see Fred first.	contradiction
5	Do you need to keep within a certain price range?	I try to eat only under fifteen dollars a meal.	entailment
6	Have you tried TexMex	I eat it from time to time.	entailment
7	Do you like big cities?	Big cities are loud, but very diverse.	neutral
8	Do you like going ice skating?	I'm not a fan	contradiction
9	Do you like going on hikes?	I wouldn't be a fan of hikes	contradiction
10	Are you still planning to retire next year?	I figure I can get a few more years of work under my belt.	contradiction
11	Does you car have a engine temperature gauge on the dashboard?	Yes, there is a gauge.  It is in the dashboard.	entailment
12	Have you seen the new school library?	I have not been yet	contradiction
13	Will you be decorating for the holidays?	I am not a decorator.	contradiction
14	Does the laptop BIOS show that the hard drive is installed?	The hard drive is showing up as installed in BIOS.ß	entailment
15	Have you been healthy lately?	I can't kick this cold.	contradiction
16	Do you have a family?	We have 3 kids.	entailment
17	Are you into thrillers?	I like being on the edge of my seat.	entailment
18	Are you heading out?	I'm going straight to the bar.	entailment
19	Do you have plans this weekend?	We're going out.	entailment
20	Does the car make ticking sounds while coasting in neutral?	How does it help diagnose the issue if you know there is a ticking noise when the car coasts in neutral?	neutral
21	Is the beach a place you like to go?	My skin is very sensitive to the sun.	contradiction
22	Do you prefer to be active?	I consider myself to very active.	entailment
23	Is there a neighborhood watch program?	I thought you would know.	neutral
24	Are you able to boot your Windows in Safe Mode?	What is the way to boot Windows in Safe Mode?	neutral
25	Will you be working there?	I just found a job in Soho.	entailment
26	Is there a 12 volt+ reading at the primary coil?	Yes, the primary coil does have a reading of 12 volt +.	entailment
27	Do you like downtown?	It's always a fun time.	entailment
28	I have figured out the problem. There's an antifreeze leak which is probably too small to find. Please get it sealed.	Got that antifreeze leak sealed up and it worked like a charm. Thanks for providing me a good solution.	neutral
29	Is your laptop display rotated 90 degrees or upside-down?	I am not seeing any such visual issues with the display.	contradiction
30	Are you looking for the same kind of position as you had before?	I'd like something more creative.	contradiction
31	Are you able to connect to the network if the security in your router is disabled?	I can recall the router's username and password.	entailment
32	Are you a fan of Stephen King?	I never read scary stories.	contradiction
33	Do your parents still live in the neighborhood?	they moved a while back	contradiction
34	Have you been living here?	I've only been back for a few months.	entailment
35	Do you hear a clunking noise from your car, as opposed to ticking noise?	I haven't heard any kind of clunking noise from my car. It sounds like something else.	contradiction
36	Did you read the Game of Thrones books?	The TV show is all I know.	contradiction
37	Did you read Gone Girl?	It's a pretty interesting book.	entailment
38	Want to go to the cinema?	Let's go now	entailment
39	Do you get engulfed in the story?	I couldn't pull myself away.	entailment
40	Are you new to the city?	I moved in last week.	entailment
41	Would you want to go to a steakhouse?	I'm not big on those.	contradiction
