index	sentence1	sentence2	label
0	Do you mind crowds?	I prefer quieter places	entailment
1	Do you enjoy trying unique dishes?	Depends on what those dishes are.	entailment
2	Have you got any plans this weekend?	I'm helping my mom with housework.	entailment
3	Are you facing any issue with accessories such as wipers, radio or heater blower?	No, none of the accessories are experiencing electrical problems.	contradiction
4	Do you often listen to pop music?	I prefer jazz.	contradiction
5	Do you play the piano?	I took a few lessons last year.	entailment
6	Want to visit the park this weekend?	What a great idea!	entailment
7	Is your laptop's fan running when it overheats?	It is still running when the laptop overheats.  It starts automatically due to heat.	entailment
8	Have you enjoy cooking?	I find cooking to be a chore.	contradiction
9	When you turn the key, does the starter crank?	Im able to hear crank from the starter.	entailment
10	Want to go to the movies?	I already saw everything.	contradiction
11	Is your laptop fan running all the time when you use the laptop?	It does not keep moving. It just stays still.	contradiction
12	Have you tried the new deli in our neighborhood?	Their meat selection is the best.	entailment
13	Have you been to SXSW?	It is always too expensive.	contradiction
14	Have you decided which neighborhood you want to buy in?	Wherever we can afford.	contradiction
15	Is it within walking distance of work?	I can get to work within a 5 minute walk.	entailment
16	Want to go to the park?	I'd be up for that	entailment
17	Does the fan turn on when the engine warms up?	Yes, it is turning on.  This happens when it is warming up.	entailment
18	Do you still live on West End road?	I moved to the other side of town.	contradiction
19	Did you remember an umbrella?	Here it is.	entailment
20	I have figured out the problem. There's an antifreeze leak which is probably too small to find. Please get it sealed.	You're right that I need to get it sealed as that solution perfectly solves my problem. Thank you so much for your assistance. 	neutral
21	The starter primary coil has an internal short. Fixing this should help start your car.	Well my car did start so fixing the pirmary coil worked! Thank you.	neutral
22	Are you facing any issue with accessories such as wipers, radio or heater blower?	All of those seem to be working fine. 	contradiction
23	Do you hate crowds?	As long as they're cool people, I', OK with them.	contradiction
24	Do you like novels?	Reading is always happening at my house.	entailment
25	Do you eat raw fish?	I can't eat fish raw.	contradiction
26	Do you see tiny dots or lines through the LCD display?	No, the LCD does not show any lines. There are no tiny dots or similar spots either.	contradiction
27	Do you have family that live near here?	My closest family lives in Michigan.	contradiction
28	Is your job related to IT?	I'm in sales.	contradiction
29	How about watching a movie?	Let's get a coffee instead.	contradiction
30	Do you live around here now?	We have a place just down the block.	entailment
31	Did you enjoy reading the last Harry Potter book ?	I only read the first one.	neutral
32	Are you interested in sporting events?	I like watching soccer.	entailment
33	Do you work 9 to 5?	I'm open to a more flexible work schedule.	neutral
34	Are you working in an office?	I work in office.	entailment
35	Do you like to read romances?	I'm not the romantic type.	contradiction
36	Did you read any of the best-sellers?	I can't think of any.	contradiction
37	Are you an animal lover?	I have two dogs and two cats.	entailment
38	Are you into graphic novels?	I have a huge collection.	entailment
39	Does your car have electronic fuel injection?	Yes, my car does have an electronic fuel injection.	entailment
40	Does your laptop freeze when it overheats?	Yes, it will stop working once it overheats.	entailment
41	Have you seen my new place before?	I haven't been yet	contradiction
42	Did you move to a different city?	I moved for work.	entailment
43	Do you want to enjoy the high end lifestyle?	That would be a perk.	entailment
44	Can you hear fan or hard drive sounds from your laptop?	It is not making a sound. What else should I check for?	neutral
45	Have you played the cello?	I only play the piano.	contradiction
46	Did you end up going to college?	I never did graduate.	entailment
47	Are you a fan of movies?	I have really enjoyed the recent Marvel movies.	entailment
48	Are you going out this weekend?	We have a getaway planned.	entailment
49	Is the brake fluid level OK?	I checked the brake fluid and it is at the proper level.	entailment
50	Do you want to make dinner at my house?	Cooking with you would be fun.	entailment
51	Is your laptop display rotated 90 degrees or upside-down?	There is no upside down image being shown on my laptop.	contradiction
52	Is your job too far?	It is further than I'd like	entailment
53	Have you any photos of your family now?	Let me bring them up on my phone.	entailment
54	Are you enjoying your time?	It's been very nice visiting you.	entailment
55	Do you still live in our hometown?	I'm moving to New York next month.	entailment
56	Do you want to be outside?	The weather is supposed to be nice.	entailment
57	Are you a fan of movies?	I'm a film lover.	entailment
58	Are you into thrillers?	Travel books are my favorite.	contradiction
59	Do you have to travel frequently?	I don't go away much.	contradiction
60	Are you using your laptop on a hard and flat surface?	The surface is hard and flat, the laptop is on a table.	entailment
61	Do you play instruments?	I used to play the flute.	entailment
62	Do you like Harry Potter?	I've never read any Harry Potter books.	contradiction
63	Does a place that\'s cozy sound good?	it sounds great	entailment
64	Can you cover my shift tomorrow?	of course I can	entailment
65	Have any plans for tonight?	I might stay in tonight	contradiction
66	Do you want something spicy?	I can't handle spicy food.	contradiction
67	Are you worried about the cost?	I already know it'll be pricey.	contradiction
68	Are you in the mood for a specific type of cuisine?	I would love to have thai food tonight for tea.	entailment
69	How about booth seating?	I like eating at the bar.	contradiction
70	Does your work keep you interested?	I find it very engaging.	entailment
71	Does it have windows?	There are windows in every room.	entailment
72	Are you a Stephen King fan?	I like It, Misery and The Shining.	entailment
73	Does the car start, run a few seconds (or longer) and then stall?	Thats exactly what is happening.	contradiction
74	Do you work here in town?	My job is an hour away.	contradiction
75	Are you engaged?	We just got engaged last week.	entailment
76	Do like a spicy foods?	Spices don't agree with me.	contradiction
77	Do you have any experience with customer relations?	I have to take all the calls for the company.	entailment
78	Do you need to be close to your job?	It helps if I am	entailment
79	Do you live here now?	I live on the other side of the country.	contradiction
80	Do you like bbq?	I'm not a meat eater.	contradiction
81	Your hard drive is perfectly fine. You have a battery failure.	You were right about that. It was a battery failure, not the hard drive. Thanks so much for pointing me in the right direction.	neutral
82	Is this the first time you live in this state?	I went to college here.	contradiction
83	Do you like Mexican food?	I like it okay	entailment
84	Are you unhappy where you're at?	I need a change of scenery.	entailment
85	Are you new to Austin?	I just moved here.	entailment
86	Is the antifreeze level in your overflow tank up to the mark?	I'm checking it now. It's up to the right mark.	entailment
87	Are you able to see anything on your laptop's screen?	Yes, I can see activity on the screen.	entailment
88	Has your life gone the way you expected?	There've been a lot of surprises, but all good.	contradiction
89	Are you tired from your journey?	I really need to go take a nap.	entailment
90	When you apply the brakes, does it pull the steering wheel?	Yes, It gets pulled when I hit the brakes.	entailment
91	Do you have a limit of what you want to pay?	Probably $10,000.	entailment
92	Do you have any kids?	My kids are all grown up now.	entailment
93	Do you work in an office?	I work outdoors.	contradiction
94	Do you like biographies?	I prefer fiction to non-fiction.	contradiction
95	Have you read any of Jodi Piccolt's books?	She's my favorite author	entailment
96	Do you like video games?	My favorite genre is RPGs.	entailment
97	Is spending time outdoors something you enjoy?	I like being at the beach.	entailment
98	Do you like Mexican food?	I prefer Asian.	contradiction
99	Have you considered renting?	I'm really set on buying.	contradiction
100	Have you been downtown yet?	I haven't been for a few weeks.	entailment
101	Were you sitting all day?	I was always moving around.	contradiction
102	Would you like to meet up with our old friends?	Do you think they'd be into it?	neutral
103	Is your work physically demanding?	My body is exhausted at the end of the work day.	entailment
104	Do you listen to classical music?	I like classical music like Beethoven.	entailment
105	Your laptop has a power LED, which should turn ON when an external power supply is connected. When you plug in the power supply, does the power LED turn ON?	It does not turn on at all.	contradiction
106	Do you have a place to stay?	I haven't booked anything.	contradiction
107	How about some pancakes?	I'm laying off carbs for now.	contradiction
108	Aren't you glad it's Friday?	I love Friday	entailment
109	Are you happy working here at this job?	It's wonderful.	entailment
110	Are you very busy these days?	I have a lot of free time.	contradiction
111	Change the auto-hibernate mode from the BIOS settings. Auto-hibernate triggered by low battery can trigger overheating shutdown.	Alright I made that change and it seems to be working.  Thank you for all your help.	neutral
112	have you Googled any places to go?	I have a long list of places to visit.	entailment
113	Does you car have a engine temperature gauge on the dashboard?	I just checked and it is there.	entailment
114	Is the emergency parking brake working properly?	I tested the emergency parking brake. The brake is not working well. 	contradiction
115	Do you enjoy outdoor activities?	I hike every weekend.	entailment
116	Want to try my favorite restaurant ever?	It would be my pleasure.	entailment
117	Do you want to live with a roommate?	I'd rather live alone.	contradiction
118	Is the emergency parking brake working properly?	I don't think it is.	contradiction
119	Are you getting a takeaway tonight?	That's a good suggestion, I don't feel like cooking.	entailment
120	Are you enjoying your time?	It's been wonderful.	entailment
121	Are you a pescatarian?	I am vegan.	contradiction
122	Are you into art?	I like music as well as art.	entailment
123	Is there an open circuit with your car's key in 'run/ON' position?	What do I do to check whether there's an open circuit or not?	neutral
124	Have you ever tried deer?	It sounds kinda gross.	contradiction
125	Is it on the top floor?	It's a garden flat.	contradiction
126	Does one or more wheels drag too much?	No, all of wheels are moving as they should.	contradiction
127	I understand the issue now. You will have to clean all the air vents of your laptop and replace the active heat sink.	I cleaned the air vents and replaced the active heat sink and everything is working again. Thank you for helping me!	neutral
128	Have you ever tried vegan cuisine?	There's a great vegan spot I often go to for lunch.	entailment
129	Are you using your laptop on a hard and flat surface?	It is set on a soft cushion.	entailment
130	Do you like fancy cars?	I prefer more economical models.	contradiction
131	Does it have a view?	I can see the Empire State Building from the living room.	entailment
132	Is making money important to you?	I like a mix of happiness and money.	neutral
133	Do you see the splash screen if you connect your laptop to an external working monitor?	I can see the splash screen when I connect my laptop.	entailment
134	Have you got a spending budget?	It makes up about half of my paycheck.	entailment
135	Does your car have a mechanical distributor?	I don't think so. I haven't heard of one. 	contradiction
136	Would you like working in a factory?	It sounds like it would be pretty loud and grimy.	contradiction
137	Will you be going at night this weekend?	I want to get some rest this weekend.	contradiction
138	Did you ever play the guitar?	I played when younger	entailment
139	Please tell me if your laptop battery is overheating?	The battery is not hot when I go to touch it.  The battery feels maybe light warm at most.	contradiction
140	Do you have an interest for seafood?	I'm allergic to seafood.	contradiction
141	Do you find it too far to commute?	The commute isn't an issue.	contradiction
142	Do you work next week?	I will be on holiday for a fortnight.	contradiction
143	"When you turn on the laptop, does it show ""momentary signs of life"" before dying?"	Yes, there are momentary signs of life when I switch my laptop on. They occur just before my laptop dies.	entailment
144	Have you read any romantic books lately?	I love romantic stories.	neutral
